Model,Accuracy,Scam Precision,Scam Recall,Scam F1
Logistic Regression,0.9787234042553191,0.916030534351145,0.916030534351145,0.916030534351145
Logistic Regression Conservative,0.9777562862669246,0.9090909090909091,0.916030534351145,0.9125475285171103
