Model,Accuracy,Scam Precision,Scam Recall,Scam F1
Random Forest,0.9825918762088974,0.9829059829059829,0.8778625954198473,0.9274193548387096
Linear SVM,0.9777562862669246,0.9354838709677419,0.8854961832061069,0.9098039215686274
Logistic Regression,0.97678916827853,0.9147286821705426,0.9007633587786259,0.9076923076923077
