Metric,Score
Accuracy,0.9787234042553191
Scam Precision,0.916030534351145
Scam Recall,0.916030534351145
Scam F1,0.916030534351145
CV Mean F1,0.9365253161087651
CV F1 Std,0.015541752903283404
