Metric,Score
Accuracy,0.9816247582205029
Scam Precision,0.9666666666666667
Scam Recall,0.8854961832061069
Scam F1,0.9243027888446215
CV Mean F1,0.9365253161087651
CV F1 Std,0.015541752903283404
